time,open,high,low,close,vol
2014-07-26,601.43,601.43,590.84,590.85,1.39145892
2014-07-27,592.55,594.39,592.55,593.04,3.56043092
2014-07-28,593.02,593.02,580.17,583.98,4.74850776
2014-07-29,586.55,586.57,582.26,582.26,1.2403192
2014-07-30,580.13,580.13,572,572,4.38160581
2014-07-31,568.41,575.78,567.94,575.78,6.66506435
2014-08-01,586.72,594.91,586.42,594.91,4.38357381
2014-08-02,592.65,592.65,587.4,591.67,2.19047326
2014-08-03,591.66,591.66,587.21,587.21,0.7794288
2014-08-04,589.16,589.23,589.16,589.23,1.36371791
2014-08-05,587.12,587.12,579.04,580.56,2.92952917
2014-08-06,580.51,580.51,577.66,580.51,2.41752953
2014-08-07,582.01,587.51,581.06,587.51,3.71804377
2014-08-08,587.89,590.23,587.82,588.71,2.32089639
2014-08-12,585.9,588.64,563.11,569.1,2.80324761
2014-08-13,563.11,563.11,546.82,547.65,4.5371267
2014-08-14,547.65,550,509.5,509.5,4.64599623
2014-08-15,509.5,509.5,509.5,509.5,0.17279001
2014-08-16,509.1,520,500,518.1,2.47000011
2014-08-18,495,500,479.1,479.1,2.7332981
2014-08-19,490,499,479.9,484.75,1.69101429
2014-08-20,484.75,499,483.25,499,1.58654003
2014-08-21,500,523.72,500,523.72,3.3046304
2014-08-22,515.59,523.71,511.4,518.84,5.90501825
2014-08-23,510.22,510.22,508.65,508.65,0.71
2014-08-25,508.65,508.65,501.53,504.33,6.70081829
2014-08-26,504.35,511.81,504.35,511.81,5.3214197
2014-08-27,511.74,523.01,510.98,523.01,4.77451053
2014-08-28,521.73,521.73,507.9,508.5,4.47266187
2014-08-29,508.5,509,506.09,509,3.53569541
2014-08-31,509,509,509,509,0.0761239
2014-09-01,508.15,508.15,476.31,479.81,17.74302831
2014-09-02,478.31,478.31,474.97,477.32,10.82704449
2014-09-03,476.12,477.31,475.84,477.31,5.28926756
2014-09-04,477.49,480.61,476.71,480.61,8.17940862
2014-09-05,485.75,489.11,485.75,487.11,7.53522782
2014-09-08,487.05,487.27,466.48,466.83,6.38472582
2014-09-09,465.05,465.05,462.07,462.07,1.79912941
2014-09-10,464.52,487.29,464.52,487.29,3.04610941
2014-09-11,485.78,487.77,475.19,475.19,0.9761889
2014-09-12,474.59,474.59,470.27,471.48,1.8169518
2014-09-13,472.54,475.19,472.54,475.19,0.2254256
2014-09-15,474.53,474.96,474.25,474.96,3.30628265
2014-09-16,474.13,474.13,467.65,467.65,1.4241982
2014-09-17,465.24,465.24,462.03,462.03,0.11
2014-09-18,462.05,462.05,435.39,435.39,3.07449977
2014-09-19,435.27,435.78,385.97,400,3.33827501
2014-09-20,415.78,415.78,407.48,407.48,0.1243029
2014-09-23,401,458,390,434,94.48611463
2014-09-24,449,464,432,446,134.1948292
2014-09-25,460,463,402,412,192.7448836
2014-09-26,412,418,398,413,166.0500904
2014-09-27,399,417,394,407,58.69550435
2014-09-28,412,418,391,406,102.6897709
2014-09-29,416,418,380,412,33.57073429
2014-09-30,412,418,378,404,141.9133195
2014-10-01,410,417,378,391,112.8091802
2014-10-02,391,418.72,373,383,147.1469478
2014-10-03,394,407,353.55,396,97.11927233
2014-10-04,352,389,352,389,0.0380949
2014-10-05,310,310,310,310,0.44
2014-10-06,467.65,467.65,324,331,60.92317096
2014-10-07,335,341,313,326,53.32925385
2014-10-08,327,349,327,349,22.24273775
2014-10-09,349,410,349,382,92.57376189
2014-10-10,381,417,348,357,127.7897521
2014-10-11,358,365,348,355,12.83827797
2014-10-13,361,396,312.01,383,35.96781225
2014-10-14,383,413,310.99,398,72.3133597
2014-10-15,399,404,378,392,117.5212508
2014-10-16,394,401,311,385,90.88830235
2014-10-17,385,393,372,380,114.5211411
2014-10-18,380,389,375,379,15.56326346
2014-10-20,379,393,376,384,103.6295566
2014-10-21,384,395.99,300.89,386,73.67433728
2014-10-22,389,395,379,385,91.67675885
2014-10-23,385,390,356.01,364.99,82.57991671
2014-10-24,363.01,371,351.03,359,85.43793247
2014-10-25,359.04,365.01,343,354,72.21421574
2014-10-26,354,366,345,361,80.57852886
2014-10-27,355,365,348,355.99,72.51847259
2014-10-28,350.02,362.07,350.01,359,29.2813512
2014-10-29,359,362,334.99,338,75.18332542
2014-10-30,338,356.99,331,350.01,78.3541397
2014-10-31,350.01,355,335,337,77.75666937
2014-11-01,337,347,300.9,326.99,76.41980514
2014-11-02,326.99,338,297.5,330,56.44729022
2014-11-03,325,341,300,327,26.58931158
2014-11-04,325,338,279.37,335,47.96010525
2014-11-05,329.01,350,315.1,343,54.97679287
2014-11-06,339.01,358,335.75,349.01,48.87919593
2014-11-07,349.01,358.99,327.11,345,62.07441516
2014-11-08,345,1158.338,337,349,37.59827782
2014-11-09,345,366,305.01,360.99,16.82600575
2014-11-10,365,365,365,365,0.021797
2014-11-12,354,421.99,354,421.99,9.45612719
2014-11-13,425,451,303,419.94,13.30359463
2014-11-14,394,405,383,384.99,6.49412145
2014-11-16,391.99,395,385,389,3.1209565
2014-11-17,389,409,380,387,19.09330421
2014-11-18,386,399,373,383.99,45.91237365
2014-11-19,379,379,379,379,0.45996201
2014-11-21,459.941,1314,351,352.65,0.65963309
2014-11-22,358.26,364.491,356,362,1.1882768
2014-11-23,357,378,354,371,61.58422878
2014-11-24,375,385,366,379,48.94919048
2014-11-25,385,385,379,379,1.09500699
2014-11-26,378,379,365,370,4.99389968
2014-11-27,375,380,368,368,11.51794839
2014-11-28,358,380,356,380,10.12515512
2014-11-29,368,385.5051332,368,375,4.4192735
2014-11-30,375,377,375,375,1.2021275
2014-12-01,376,385.68,375.91,382,19.67712682
2014-12-02,382,389,377,380,101.5507929
2014-12-03,380,385,373.01,375.07,19.55598916
2014-12-04,379.33,379.51,367,376,52.78962305
2014-12-05,368,382,366.01,381,45.53094921
2014-12-06,377,379,372.01,373,2.1071868
2014-12-07,373,384,371.01,375,40.31511862
2014-12-08,373,377,360,368,15.73574352
2014-12-09,364,364,346,355.99,25.54822621
2014-12-10,349,357,346,349,27.52914168
2014-12-11,350,350,350,350,0.228858
2014-12-12,346,362,346,356,29.78696268
2014-12-13,360,389.99,343,352,50.35091107
2014-12-14,351.99,361.01,344,355.99,21.9978795
2014-12-15,355.99,357.98,342,345.01,58.93091542
2014-12-16,347.01,351.98,326,328.99,21.93519375
2014-12-17,326,339,315.9,323,57.82062768
2014-12-18,324,329,302.01,313,22.80584291
2014-12-19,313,324,309.01,323,19.29790354
2014-12-20,319,331.95,317,325.9,2.6963127
2014-12-21,331,337,320,326,66.08703512
2014-12-22,326,329,326,329,0.4166148
2014-12-23,341.863,341.863,334,337.77,1.58623571
2014-12-24,336.99,340,322,324.07,51.83548389
2014-12-25,324.06,329,317,324,61.80509227
2014-12-26,325.88,339,319,328,67.94008413
2014-12-27,331,334,312,320,67.04721652
2014-12-28,320,325,307,321,73.46945887
2014-12-29,319,331,313,317.99,68.22346644
2014-12-30,316.01,324,308.01,313.99,58.59595888
2014-12-31,312,322,310.01,320,74.54819164
2015-01-01,322.98,324,313.99,317.01,65.72289857
2015-01-02,319.99,323.01,314,316,55.38049649
2015-01-03,317,320,290,290.01,65.82193221
2015-01-04,290,298.99,265,269.99,69.50688483
2015-01-05,269.99,335,262,269.01,34.31745811
2015-01-06,278.98,279.99,278.98,279.99,2.11261799
2015-01-07,285.13,306,284.01,301,25.40886166
2015-01-08,295,302,283,287,70.18980146
2015-01-09,289.99,299,281,286,31.74335677
2015-01-10,280,280,280,280,0.0532857
2015-01-11,262,489,260,287,6.55414041
2015-01-12,271,284,264.27,273,35.49583614
2015-01-13,266,266,226,227,78.11992125
2015-01-14,225.01,225.01,186.89,186.89,5.15436927
2015-01-15,194,229.99,193.01,207,39.33504358
2015-01-16,213,229,204.25,211.99,32.40453429
2015-01-17,207,208,198,205,8.95923143
