day,price
2015-06-27,248.1706501
2015-06-29,250
2015-06-30,263.01
2015-07-01,268.947
2015-07-02,254
2015-07-05,269
2015-07-06,282.86
2015-07-07,272.92
2015-07-08,282.97
2015-07-09,279.91
2015-07-10,292.62
2015-07-13,287.94
2015-07-14,287.99
2015-07-15,286
2015-07-16,274
2015-07-17,276
2015-07-19,275
2015-07-20,273.54
2015-07-21,274.34
2015-07-22,479.39
2015-07-23,279.14
2015-07-24,283.07
2015-07-25,288
2015-07-27,295
2015-07-28,293.03
2015-07-29,291.01
2015-07-30,288.01
2015-07-31,290
2015-08-01,290
2015-08-02,287
2015-08-03,287
2015-08-04,287
2015-08-05,287
2015-08-06,287
2015-08-07,275
2015-08-08,270
2015-08-09,265
2015-08-10,263
2015-08-11,370.01
2015-08-17,263
2015-08-18,244.05
2015-08-19,232.85
2015-08-23,229
2015-08-25,227
2015-09-01,240
2015-09-03,224
2015-09-04,224
2015-09-09,224
2015-09-21,223.99
2015-09-22,230
2015-09-23,277.21
2015-09-24,254.57
2015-09-25,237.09
2015-09-26,234
2015-09-27,234
2015-09-28,254.99
2015-09-30,236
2015-10-02,234
2015-10-05,234
2015-10-06,244
2015-10-08,243
2015-10-09,277.89
2015-10-13,241.01
2015-10-14,250
2015-10-15,253
2015-10-16,261
2015-10-17,270
2015-10-19,260
2015-10-20,266
2015-10-21,262
2015-10-22,268
2015-10-23,271
2015-10-24,268
2015-10-26,279
2015-10-28,295
2015-10-29,301
2015-10-30,325
2015-11-02,300
2015-11-09,367
2015-11-10,339
2015-11-11,370
2015-11-15,330
2015-11-18,331
2015-11-19,320
2015-11-20,350
2015-11-24,313
2015-11-26,370
2015-12-01,371
2015-12-02,356
2015-12-07,383
2015-12-08,389
2015-12-09,390
2015-12-11,437
2015-12-12,550
2015-12-14,442
2015-12-15,452
2015-12-17,435
2015-12-21,580
2015-12-22,433
2015-12-26,425
2016-01-05,429
2016-01-06,425
2016-01-07,458
2016-01-08,440
2016-01-09,442
2016-01-10,442
2016-01-12,444
2016-01-15,417.55
2016-01-25,395
2016-01-26,398
2016-01-27,401
2016-01-28,386
2016-01-29,384
2016-01-30,388
2016-02-01,376
2016-02-02,378.01
2016-02-03,376
2016-02-04,387
2016-02-05,386
2016-02-08,373
2016-02-09,376
2016-02-10,429
2016-02-11,377
2016-02-12,384
2016-02-13,401.99
2016-02-14,402
2016-02-15,405
2016-02-16,408
2016-02-17,423
2016-02-18,422
2016-02-19,421
2016-02-20,425
2016-02-21,395.241
2016-02-22,441
2016-02-25,426
2016-02-26,424
2016-02-29,444.7
2016-03-01,433
2016-03-02,430.99
2016-03-05,445
2016-03-06,408
2016-03-07,416
2016-03-08,387.01
2016-03-09,450
2016-03-14,434.98
2016-03-15,417
2016-03-16,417
2016-03-17,419
2016-03-18,409
2016-03-21,409
2016-03-23,430
2016-03-25,418
2016-03-26,387.01
2016-03-28,419
2016-03-29,416
2016-03-30,415
2016-03-31,417
2016-04-03,415
2016-04-04,415
2016-04-05,422
2016-04-10,450
2016-04-11,422
2016-04-12,422
2016-04-13,425
2016-04-15,425
2016-04-17,385.13
2016-04-18,424.99
2016-04-20,450
2016-04-26,467.99
2016-04-27,456
2016-04-28,450
2016-04-30,449.01
2016-05-02,449
2016-05-05,451
2016-05-06,460
2016-05-07,455.01
2016-05-08,455.01
2016-05-10,497
2016-05-12,454
2016-05-17,454
2016-05-18,456
2016-05-23,445
2016-05-24,448
2016-05-25,448
2016-05-26,452
2016-05-27,474
2016-05-28,499
2016-06-01,599.99
2016-06-02,999
2016-06-03,580
2016-06-04,580.11
2016-06-05,600
2016-06-07,798
2016-06-08,700
2016-06-09,600
2016-06-13,615
2016-06-21,660
2016-06-22,660
2016-06-24,719.99
2016-06-25,720
2016-06-28,849
2016-06-30,675
2016-07-04,620.01
2016-07-05,749
2016-07-07,627
2016-07-11,533.5
2016-07-12,800
2016-07-13,779
2016-07-19,725.99
2016-07-20,725.99
2016-07-21,625.06
2016-07-22,690
2016-07-26,685
2016-07-27,680
2016-07-28,630
2016-07-30,640
2016-07-31,630
2016-08-01,630
2016-08-02,528.5
2016-08-04,535.01
2016-08-05,535
2016-08-06,550
2016-08-08,540.01
2016-08-09,600
2016-08-11,600.1
2016-08-12,600.1
2016-08-13,639.99
2016-08-14,585
2016-08-15,600.99
2016-08-16,589
2016-08-17,580
2016-08-19,650
2016-08-21,620
2016-08-22,614
2016-08-25,613.98
2016-08-26,565.01
2016-08-27,613.98
2016-08-28,565.01
2016-08-29,565.01
2016-08-30,613.97
2016-08-31,523.1
2016-09-01,599.97
2016-09-02,584.99
2016-09-03,585
2016-09-04,598
2016-09-05,609.99
2016-09-06,600
2016-09-07,605
2016-09-08,624
2016-09-09,606.0606061
2016-09-10,621.01
2016-09-11,640
2016-09-12,630
2016-09-13,630
2016-09-14,659
2016-09-15,658.98
2016-09-16,670
2016-09-17,631.01
2016-09-20,670
2016-09-21,700
2016-09-22,625
2016-09-23,620
2016-09-25,616
2016-09-26,663
2016-09-27,624
2016-09-28,621
2016-09-29,649.99
2016-10-01,649
2016-10-02,643
2016-10-03,645
2016-10-04,596.01
2016-10-05,800
2016-10-06,625
2016-10-07,675
2016-10-08,629
2016-10-09,628.5
2016-10-11,655
2016-10-12,645
2016-10-13,658
2016-10-14,652.5
2016-10-15,649.99
2016-10-16,697.98
2016-10-17,649
2016-10-18,688
2016-10-20,680
2016-10-21,645
2016-10-22,688
2016-10-23,688.5
2016-10-24,615.01
2016-10-25,700
2016-10-26,734
2016-10-27,726
2016-10-28,690.18
2016-10-29,740.99
2016-10-30,699
2016-10-31,720
2016-11-01,726
2016-11-02,763
2016-11-03,700
2016-11-04,749.99
2016-11-05,739.91
2016-11-06,748.35
2016-11-07,717
2016-11-08,718.05
2016-11-09,748
2016-11-10,774
2016-11-11,750
2016-11-12,755
2016-11-13,775
2016-11-14,707
2016-11-15,744
2016-11-16,776.5
2016-11-17,777
2016-11-18,770
2016-11-19,777
2016-11-20,764
2016-11-21,750
2016-11-22,798.99
2016-11-23,863
2016-11-24,787
2016-11-25,783.99
2016-11-26,745
2016-11-27,748.05
2016-11-28,768.9
2016-11-29,771.99
2016-11-30,773.24
2016-12-01,760.1
2016-12-02,776
2016-12-03,800
2016-12-04,799.9
2016-12-05,798
2016-12-06,819
2016-12-07,815
2016-12-08,820
2016-12-09,817.5
2016-12-10,800
2016-12-11,777
2016-12-12,810
2016-12-13,812.5
2016-12-14,810.47
2016-12-15,804.09
2016-12-16,818
2016-12-17,811
2016-12-18,821.5
2016-12-19,809
2016-12-20,828.99
2016-12-21,864
2016-12-22,901
2016-12-23,977.99
2016-12-24,903.01
2016-12-25,918.99
2016-12-26,922
2016-12-27,982
2016-12-28,979.01
2016-12-29,987.5
2016-12-30,986.9
2016-12-31,992
2017-01-01,969.01
2017-01-02,1060
2017-01-03,1069.49
2017-01-04,1210
2017-01-05,1068
2017-01-06,1001
2017-01-07,967.5
2017-01-08,902.01
2017-01-09,957.5
2017-01-10,941.5
2017-01-11,820
2017-01-12,899.99
2017-01-13,822.01
2017-01-14,867
2017-01-15,823.01
2017-01-16,600
2017-01-17,940
2017-01-18,890
2017-01-19,948
2017-01-20,921
2017-01-21,938.99
2017-01-22,939
2017-01-23,950
2017-01-24,938.5
2017-01-25,921.52
2017-01-26,939
2017-01-27,940
2017-01-28,941
2017-01-29,938.5
2017-01-30,950
2017-01-31,995
2017-02-01,998.9
2017-02-02,1010
2017-02-03,1017
2017-02-04,1059
2017-02-05,1042.5
2017-02-06,1046.95
2017-02-07,1080
2017-02-08,1069.5
2017-02-09,1008.49
2017-02-10,1013
2017-02-11,1039.99
2017-02-12,1035
2017-02-13,1012.01
2017-02-14,1053.99
2017-02-15,1028
2017-02-16,1050
2017-02-17,1090
2017-02-18,1079
2017-02-19,1062.5
2017-02-20,1090
2017-02-21,1156.99
2017-02-22,1175.41
2017-02-23,1193.49
2017-02-24,1183.99
2017-02-25,1172.99
2017-02-26,1155.01
2017-02-27,1231
2017-02-28,1204.5
2017-03-01,1244
2017-03-02,1264.99
2017-03-03,1294.99
2017-03-04,1302
2017-03-05,1273.01
2017-03-06,1293
2017-03-07,1265
2017-03-08,1150.04
2017-03-09,1219.68
2017-03-10,1144
2017-03-11,1200
2017-03-12,1227.11
2017-03-13,1244.64
2017-03-14,1279
2017-03-15,1269.01
2017-03-16,1241
2017-03-17,1155
2017-03-18,1022.2
2017-03-19,1105
2017-03-20,1120
2017-03-21,1169
2017-03-22,1075.99
2017-03-23,1060.55
2017-03-24,949
2017-03-25,990.98
2017-03-26,999.99
2017-03-27,1064.99
2017-03-28,1108
2017-03-29,1067
2017-03-30,1078
2017-03-31,1089
2017-04-01,1114.96
2017-04-02,1123
2017-04-03,1188.74
2017-04-04,1165
2017-04-05,1158.99
2017-04-06,1194
2017-04-07,1209.77
2017-04-08,1185
2017-04-09,1217.01
2017-04-10,1235
2017-04-11,1223.5
2017-04-12,1223
2017-04-13,1214
2017-04-14,1196
2017-04-15,1186.04
2017-04-16,1199.99
2017-04-17,1200
2017-04-18,1240.39
2017-04-19,1215
2017-04-20,1248.98
2017-04-21,1255.4
2017-04-22,1251.99
2017-04-23,1200.01
2017-04-24,1242
2017-04-25,1265
2017-04-26,1312.99
2017-04-27,1340
2017-04-28,1349.9
2017-04-29,1359.99
2017-04-30,1356
2017-05-01,1362.5
2017-05-02,1434.99
2017-05-03,1491.99
2017-05-04,1480
2017-05-05,1529
2017-05-06,1575
2017-05-07,1568.11
2017-05-08,1725.99
2017-05-09,1740
2017-05-10,1772
2017-05-11,1874.5
2017-05-12,1700
2017-05-13,1739
2017-05-14,1781.03
2017-05-15,1740
2017-05-16,1775
2017-05-17,1800
2017-05-18,1875.99
2017-05-19,1931.01
2017-05-20,1980
2017-05-21,2029.99
2017-05-22,2080
2017-05-23,2221
2017-05-24,2469
2017-05-25,2360
