close_sp500,close_btc,y
2109.98999,248,241
2122.850098,249,242
2108.580078,242.01,243
2101.48999,249.726,244
2057.639893,250,245
2063.110107,263.01,246
2077.419922,268.947,247
2076.780029,254,248
2068.76001,282.86,249
2081.340088,272.92,250
2046.680054,282.97,251
2051.310059,279.91,252
2076.6201170000004,292.62,253
2099.600098,287.94,254
2108.949951,287.99,255
2107.399902,286,256
2124.290039,274,257
2126.639893,276,258
2128.280029,273.54,259
2119.209961,274.34,260
2114.149902,479.39,261
2102.149902,279.14,262
2079.649902,283.07,263
2067.639893,295,264
2093.25,293.03,265
2108.570068,291.01,266
2108.6298829999996,288.01,267
2103.840088,290,268
2098.040039,287,269
2093.320068,287,270
2099.840088,287,271
2083.560059,287,272
2077.570068,275,273
2104.179932,263,274
2084.070068,370.01,275
2102.439941,263,276
2096.919922,244.05,277
2079.610107,232.85,278
1867.609985,227,279
1913.8499760000002,240,280
1951.130005,224,281
1921.219971,224,282
1942.040039,224,283
1966.969971,223.99,284
1942.7399899999998,230,285
1938.7600100000002,277.21,286
1932.2399899999998,254.57,287
1931.339966,237.09,288
1881.77002,254.99,289
1920.030029,236,290
1951.359985,234,291
1987.050049,234,292
1979.9200440000002,244,293
2013.430054,243,294
2014.890015,277.89,295
2003.689941,241.01,296
1994.2399899999998,250,297
2023.859985,253,298
2033.109985,261,299
2033.660034,260,300
2030.77002,266,301
2018.939941,262,302
2052.51001,268,303
2075.149902,271,304
2071.179932,279,305
2090.350098,295,306
2089.409912,301,307
2079.360107,325,308
2104.050049,300,309
2078.580078,367,310
2081.719971,339,311
2075,370,312
2083.580078,331,313
2081.23999,320,314
2089.169922,350,315
2089.139893,313,316
2102.6298829999996,371,317
2079.51001,356,318
2077.070068,383,319
2063.590088,389,320
2047.619995,390,321
2012.369995,437,322
2021.939941,442,323
2043.410034,452,324
2041.890015,435,325
2021.1500239999998,580,326
2038.969971,433,327
2016.709961,429,328
1990.2600100000002,425,329
1943.089966,458,330
1922.030029,440,331
1938.680054,444,332
1880.3299559999998,417.55,333
1877.0799559999998,395,334
1903.630005,398,335
1882.949951,401,336
1893.359985,386,337
1940.2399899999998,384,338
1939.380005,376,339
1903.030029,378.01,340
1912.530029,376,341
1915.449951,387,342
1880.050049,386,343
1853.439941,373,344
1852.209961,376,345
1851.859985,429,346
1829.0799559999998,377,347
1864.780029,384,348
1895.5799559999998,408,349
1926.819946,423,350
1917.8299559999998,422,351
1917.780029,421,352
1945.5,441,353
1951.699951,426,354
1948.050049,424,355
1932.22998,444.7,356
1978.3499760000002,433,357
1986.449951,430.99,358
2001.7600100000002,416,359
1979.2600100000002,387.01,360
1989.2600100000002,450,361
2019.640015,434.98,362
2015.930054,417,363
2027.219971,417,364
2040.589966,419,365
2049.580078,409,366
2051.600098,409,367
2036.709961,430,368
2037.050049,419,369
2055.01001,416,370
2063.949951,415,371
2059.73999,417,372
2066.1298829999996,415,373
2045.1700440000002,422,374
2041.9899899999998,422,375
2061.719971,422,376
2082.419922,425,377
2080.72998,425,378
2094.340088,424.99,379
2102.399902,450,380
2091.699951,467.99,381
2095.149902,456,382
2075.810059,450,383
2081.429932,449,384
2050.6298829999996,451,385
2057.139893,460,386
2084.389893,497,387
2064.110107,454,388
2047.209961,454,389
2047.630005,456,390
2048.040039,445,391
2076.060059,448,392
2090.540039,448,393
2090.100098,452,394
2099.060059,474,395
2099.330078,599.99,396
2105.26001,999,397
2099.1298829999996,580,398
2112.1298829999996,798,399
2119.1201170000004,700,400
2115.47998,600,401
2079.060059,615,402
2088.899902,660,403
2085.449951,660,404
2037.410034,719.99,405
2036.089966,849,406
2098.860107,675,407
2088.550049,749,408
2097.899902,627,409
2137.159912,533.5,410
2152.139893,800,411
2152.429932,779,412
2163.780029,725.99,413
2173.02002,725.99,414
2165.169922,625.06,415
2175.030029,690,416
2169.179932,685,417
2166.580078,680,418
2170.060059,630,419
2170.840088,630,420
2157.030029,528.5,421
2164.25,535.01,422
2182.8701170000004,535,423
2180.889893,540.01,424
2181.73999,600,425
2185.790039,600.1,426
2184.050049,600.1,427
2190.149902,600.99,428
2178.149902,589,429
2182.219971,580,430
2183.8701170000004,650,431
2182.639893,614,432
2172.469971,613.98,433
2169.040039,565.01,434
2180.3798829999996,565.01,435
2176.1201170000004,613.97,436
2170.949951,523.1,437
2170.860107,599.97,438
2179.97998,584.99,439
2186.47998,600,440
2186.159912,605,441
2181.300049,624,442
2127.810059,606.06060606,443
2159.040039,630,444
2127.02002,630,445
2125.77002,659,446
2147.26001,658.98,447
2139.159912,670,448
2139.76001,670,449
2163.1201170000004,700,450
2177.179932,625,451
2164.689941,620,452
2146.100098,663,453
2159.929932,624,454
2171.3701170000004,621,455
2151.1298829999996,649.99,456
2161.199951,645,457
2150.48999,596.01,458
2159.72998,800,459
2160.77002,625,460
2153.73999,675,461
2136.72998,655,462
2139.179932,645,463
2132.550049,658,464
2132.97998,652.5,465
2126.5,649,466
2139.600098,688,467
2141.340088,680,468
2141.159912,645,469
2151.330078,615.01,470
2143.159912,700,471
2139.429932,734,472
2133.040039,726,473
2126.409912,690.18,474
2126.149902,720,475
